seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
280,False,0.2630331821279244,0.14618538973725098,-0.023490181757087503,0.5495565460129364,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.903522329759096, ('log', 2, None): -4.763230610888013}","{('int', 3, 6): 2.0856119296520013}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
281,False,0.7582526250753335,0.12914263388762887,0.505133062655581,1.011372187495086,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.936479476859631, ('log', 2, None): -5.046550422098379}","{('int', 3, 6): 2.197895297762693}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
282,False,0.7829093144443059,0.44862312365396645,-0.09639200791746838,1.6622106368060803,sr_pds,sr_pds,[],"[('int', 3, 6)]",[],"[('int', 3, 6)]",{},"{('int', 3, 6): 2.2039169108929175}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
283,False,0.401505879133022,0.2786454829723229,-0.14463926749273087,0.9476510257587749,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.3826347186627865}","{('int', 3, 6): 2.4290473186240638}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
284,False,0.27464219536069484,0.2414282051036425,-0.19855708664244442,0.7478414773638341,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.016506841647052}","{('int', 3, 6): 1.5376304414091801}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
285,False,0.6394548002985196,0.2818264958337741,0.08707486846432244,1.1918347321327167,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.032785153878991}","{('int', 3, 6): 2.10274782214535}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
286,False,0.22805067573595927,0.2611849346915212,-0.28387179625942227,0.7399731477313408,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.156632571986967}","{('int', 3, 6): 1.9874540887941994}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
287,False,0.326029274853755,0.2919116311548368,-0.24611752220972516,0.8981760719172351,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.353836709734546}","{('int', 3, 6): 2.1658592644515293}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
288,False,0.520333689065651,0.305549400764432,-0.07854313643263566,1.1192105145639377,sr_pds,sr_pds,"[('cubic', 0, 1), ('int', 3, 6)]","[('int', 3, 6)]","[('cubic', 0, 1), ('int', 3, 6)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.936692515275623, ('int', 3, 6): 2.0081904080620783}","{('int', 3, 6): 2.0081904080620783}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
289,False,0.5978420051993157,0.4668713132398996,-0.3172257687508875,1.512909779149519,sr_pds,sr_pds,[],"[('int', 3, 6)]",[],"[('int', 3, 6)]",{},"{('int', 3, 6): 2.044319207500003}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
290,False,0.394783914692766,0.12457010421385963,0.15062651043360117,0.6389413189519308,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.981925790946317, ('log', 2, None): -4.77230933358574}","{('int', 3, 6): 2.128798994065764}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
291,False,0.3959614840915277,0.10997188875028886,0.18041658214096154,0.6115063860420938,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.11310051109139, ('log', 2, None): -5.067820336938338}","{('int', 3, 6): 1.9734346921358823}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
292,False,0.4647237048541803,0.2927436025597563,-0.10905375616294205,1.0385011658713026,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.627836127298483}","{('int', 3, 6): 2.470959496273}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
293,False,0.3796083053516291,0.27177653033232757,-0.15307369409973298,0.9122903048029911,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.947883755980615}","{('int', 3, 6): 2.109059010646825}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
294,False,0.5984242014218235,0.2596331711280807,0.08954318601078537,1.1073052168328616,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.910883354364353}","{('int', 3, 6): 1.883488141689744}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
295,False,0.010490593879471103,0.30898686467294617,-0.5951236608795033,0.6161048486384456,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.748779419050637}","{('int', 3, 6): 1.737428275179299}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
296,False,0.47169522156386795,0.42206773859323665,-0.35555754607887585,1.2989479892066118,sr_pds,sr_pds,[],"[('int', 3, 6)]",[],"[('int', 3, 6)]",{},"{('int', 3, 6): 1.552025843907119}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
297,False,0.4649472576171545,0.1374039867348149,0.19563544361691726,0.7342590716173918,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.911858579832261, ('log', 2, None): -5.02685301902444}","{('int', 3, 6): 1.8679399792600238}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
