dgp,dgp_label,variant,equation,term,term_label,stage,recovery_rate,n_reps,true_coef,mean_coef,std_coef,coef_bias,coef_rmse
dgp4,Mixed nonlinear,sr_pds,y,"('int', 3, 4)",x3*x4,post_lasso,0.036,500,3.0,3.0760473294148736,0.22430027550349366,0.07604732941487358,0.2368413179791004
dgp4,Mixed nonlinear,sr_pds_cf,y,"('cubic', 0, 1)",x0^2*x1,pre_lasso,1.0,100,5.0,,,,
dgp4,Mixed nonlinear,sr_pds_cf,y,"('cubic', 0, 1)",x0^2*x1,post_lasso,1.0,100,5.0,,,,
dgp4,Mixed nonlinear,sr_pds_cf,y,"('log', 2, None)",log|x2|,pre_lasso,0.89,100,-5.0,,,,
dgp4,Mixed nonlinear,sr_pds_cf,y,"('log', 2, None)",log|x2|,post_lasso,0.89,100,-5.0,,,,
dgp4,Mixed nonlinear,sr_pds_cf,y,"('int', 3, 4)",x3*x4,pre_lasso,0.14,100,3.0,,,,
dgp4,Mixed nonlinear,sr_pds_cf,y,"('int', 3, 4)",x3*x4,post_lasso,0.14,100,3.0,,,,
dgp5,NL + linear conf.,sr_pds,y,"('cubic', 0, 1)",x0^2*x1,pre_lasso,0.896,500,5.0,,,,
dgp5,NL + linear conf.,sr_pds,y,"('cubic', 0, 1)",x0^2*x1,post_lasso,0.896,500,5.0,5.004040906880559,0.16665730215915475,0.004040906880558914,0.16670628449877092
dgp5,NL + linear conf.,sr_pds,y,"('log', 2, None)",log|x2|,pre_lasso,0.404,500,-5.0,,,,
dgp5,NL + linear conf.,sr_pds,y,"('log', 2, None)",log|x2|,post_lasso,0.404,500,-5.0,-5.003535400586975,0.14784055295625798,-0.0035354005869754346,0.14788281900113515
dgp5,NL + linear conf.,sr_pds,y,"('int', 3, 4)",x3*x4,pre_lasso,0.084,500,3.0,,,,
dgp5,NL + linear conf.,sr_pds,y,"('int', 3, 4)",x3*x4,post_lasso,0.084,500,3.0,2.9655356828901116,0.27819048348707953,-0.0344643171098884,0.2803172029266595
dgp5,NL + linear conf.,sr_pds_cf,y,"('cubic', 0, 1)",x0^2*x1,pre_lasso,1.0,100,5.0,,,,
dgp5,NL + linear conf.,sr_pds_cf,y,"('cubic', 0, 1)",x0^2*x1,post_lasso,1.0,100,5.0,,,,
dgp5,NL + linear conf.,sr_pds_cf,y,"('log', 2, None)",log|x2|,pre_lasso,0.91,100,-5.0,,,,
dgp5,NL + linear conf.,sr_pds_cf,y,"('log', 2, None)",log|x2|,post_lasso,0.91,100,-5.0,,,,
dgp5,NL + linear conf.,sr_pds_cf,y,"('int', 3, 4)",x3*x4,pre_lasso,0.36,100,3.0,,,,
dgp5,NL + linear conf.,sr_pds_cf,y,"('int', 3, 4)",x3*x4,post_lasso,0.36,100,3.0,,,,
dgp6,NL + mild NL conf.,sr_pds,y,"('cubic', 0, 1)",x0^2*x1,pre_lasso,0.908,500,5.0,,,,
dgp6,NL + mild NL conf.,sr_pds,y,"('cubic', 0, 1)",x0^2*x1,post_lasso,0.908,500,5.0,4.993143882289696,0.1480529012895114,-0.0068561177103037,0.148211564765707
dgp6,NL + mild NL conf.,sr_pds,y,"('log', 2, None)",log|x2|,pre_lasso,0.328,500,-5.0,,,,
dgp6,NL + mild NL conf.,sr_pds,y,"('log', 2, None)",log|x2|,post_lasso,0.328,500,-5.0,-4.990111351321011,0.08330060838505582,0.009888648678988865,0.08388549773361846
dgp6,NL + mild NL conf.,sr_pds,y,"('int', 3, 4)",x3*x4,pre_lasso,0.102,500,3.0,,,,
dgp6,NL + mild NL conf.,sr_pds,y,"('int', 3, 4)",x3*x4,post_lasso,0.102,500,3.0,3.150503370326985,0.5465120835397101,0.15050337032698513,0.566856879586635
dgp6,NL + mild NL conf.,sr_pds_cf,y,"('cubic', 0, 1)",x0^2*x1,pre_lasso,1.0,100,5.0,,,,
dgp6,NL + mild NL conf.,sr_pds_cf,y,"('cubic', 0, 1)",x0^2*x1,post_lasso,1.0,100,5.0,,,,
dgp6,NL + mild NL conf.,sr_pds_cf,y,"('log', 2, None)",log|x2|,pre_lasso,0.87,100,-5.0,,,,
dgp6,NL + mild NL conf.,sr_pds_cf,y,"('log', 2, None)",log|x2|,post_lasso,0.87,100,-5.0,,,,
dgp6,NL + mild NL conf.,sr_pds_cf,y,"('int', 3, 4)",x3*x4,pre_lasso,0.36,100,3.0,,,,
dgp6,NL + mild NL conf.,sr_pds_cf,y,"('int', 3, 4)",x3*x4,post_lasso,0.36,100,3.0,,,,
dgp6,NL + mild NL conf.,sr_pds,d,"('int', 3, 4)",x3*x4,pre_lasso,1.0,500,2.0,,,,
dgp6,NL + mild NL conf.,sr_pds,d,"('int', 3, 4)",x3*x4,post_lasso,1.0,500,2.0,3.0499132554512998,0.48083391145829063,1.0499132554512998,1.154780972470808
dgp6,NL + mild NL conf.,sr_pds_cf,d,"('int', 3, 4)",x3*x4,pre_lasso,1.0,100,2.0,,,,
dgp6,NL + mild NL conf.,sr_pds_cf,d,"('int', 3, 4)",x3*x4,post_lasso,1.0,100,2.0,,,,
