dgp,equation,term,term_label,method,pre_lasso,post_lasso,dgp_label
dgp7,d,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-3),1.0,1.0,NL + severe NL conf.
dgp7,d,"('int', 3, 4)",x3*x4,SR-PDS,0.882,0.882,NL + severe NL conf.
dgp7,y,"('log', 2, None)",log|x2|,PDS-LASSO (poly-2),0.0,0.0,NL + severe NL conf.
dgp7,y,"('log', 2, None)",log|x2|,PDS-LASSO (poly-3),0.0,0.0,NL + severe NL conf.
dgp7,y,"('log', 2, None)",log|x2|,SR-PDS,0.33,0.33,NL + severe NL conf.
dgp7,y,"('cubic', 0, 1)",x0^2*x1,PDS-LASSO (poly-2),0.0,0.0,NL + severe NL conf.
dgp7,y,"('cubic', 0, 1)",x0^2*x1,PDS-LASSO (poly-3),1.0,1.0,NL + severe NL conf.
dgp7,y,"('cubic', 0, 1)",x0^2*x1,SR-PDS,0.95,0.95,NL + severe NL conf.
dgp7,y,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-2),1.0,1.0,NL + severe NL conf.
dgp7,y,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-3),1.0,1.0,NL + severe NL conf.
dgp7,y,"('int', 3, 4)",x3*x4,SR-PDS,0.094,0.094,NL + severe NL conf.
dgp8,d,"('int', 3, 6)",x3*x6,PDS-LASSO (poly-2),1.0,1.0,Weak NL conf. (dummies)
dgp8,d,"('int', 3, 6)",x3*x6,PDS-LASSO (poly-3),1.0,1.0,Weak NL conf. (dummies)
dgp8,d,"('int', 3, 6)",x3*x6,SR-PDS,0.968,0.968,Weak NL conf. (dummies)
dgp8,y,"('log', 2, None)",log|x2|,PDS-LASSO (poly-2),0.0,0.0,Weak NL conf. (dummies)
dgp8,y,"('log', 2, None)",log|x2|,PDS-LASSO (poly-3),0.0,0.0,Weak NL conf. (dummies)
dgp8,y,"('log', 2, None)",log|x2|,SR-PDS,0.348,0.348,Weak NL conf. (dummies)
dgp8,y,"('cubic', 0, 1)",x0^2*x1,PDS-LASSO (poly-2),0.0,0.0,Weak NL conf. (dummies)
dgp8,y,"('cubic', 0, 1)",x0^2*x1,PDS-LASSO (poly-3),1.0,1.0,Weak NL conf. (dummies)
dgp8,y,"('cubic', 0, 1)",x0^2*x1,SR-PDS,0.892,0.892,Weak NL conf. (dummies)
dgp8,y,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-2),1.0,1.0,Weak NL conf. (dummies)
dgp8,y,"('int', 3, 4)",x3*x4,PDS-LASSO (poly-3),1.0,1.0,Weak NL conf. (dummies)
dgp8,y,"('int', 3, 4)",x3*x4,SR-PDS,0.042,0.042,Weak NL conf. (dummies)
dgp8,y,"('int', 3, 6)",x3*x6,PDS-LASSO (poly-2),1.0,1.0,Weak NL conf. (dummies)
dgp8,y,"('int', 3, 6)",x3*x6,PDS-LASSO (poly-3),1.0,1.0,Weak NL conf. (dummies)
dgp8,y,"('int', 3, 6)",x3*x6,SR-PDS,0.056,0.056,Weak NL conf. (dummies)
