seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
36,False,0.34700947810287786,0.2692018451725302,-0.1806261384352813,0.874645094641037,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
37,False,0.2660261086795679,0.2105460138028358,-0.1466440783739903,0.6786962957331261,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
38,False,0.5782409370031923,0.1993450076319711,0.18752472204452897,0.9689571519618557,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
39,False,0.704327110825611,0.2748742302476199,0.16557361954027594,1.243080602110946,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
40,False,0.3624402409873113,0.14539197609677657,0.07747196783762927,0.6474085141369934,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
41,False,0.4347682985843811,0.20966646719380336,0.023822022884526506,0.8457145742842357,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 0, 1), ('log', 2, None), ('sqrt', 2, None)]",[],"[('cubic', 0, 1), ('int', 0, 1), ('log', 2, None), ('sqrt', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
42,False,0.45995957124001896,0.25064799219639183,-0.03131049346490905,0.951229635944947,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
43,False,0.7408746913580472,0.2355608614306789,0.2791754029539166,1.2025739797621777,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None), ('sqrt', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None), ('sqrt', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
44,False,0.6939636974873037,0.20316889814259168,0.295752657127824,1.0921747378467834,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None), ('sqrt', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None), ('sqrt', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
45,False,0.5482475548213368,0.3567850438712574,-0.15105113116632773,1.2475462408090014,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None), ('sq', 2, None), ('sqrt', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None), ('sq', 2, None), ('sqrt', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
46,False,0.17018826921241004,0.24862070174674608,-0.3171083062112123,0.6574848446360324,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
47,False,0.2716488253687743,0.3195898172356864,-0.3547472164131711,0.8980448671507197,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1)]",[],"[('cubic', 0, 1)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
48,False,0.24549977379206175,0.25782311206629205,-0.2598335258578707,0.7508330734419942,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
49,False,0.4238281915586545,0.29678917016524337,-0.15787858196522253,1.0055349650825316,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
50,False,0.6796360301891331,0.18491424084072944,0.3172041181413034,1.0420679422369628,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
51,False,0.9492258121497468,0.29480637747449645,0.3714053122997337,1.5270463119997597,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
52,False,0.5100012076316475,0.22641670014970874,0.06622447533821835,0.9537779399250765,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('log', 2, None)]",[],"[('cubic', 0, 1), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
53,False,0.533293877070375,0.2189205462215762,0.10420960647608568,0.9623781476646643,sr_pds_cf,sr_pds_cf,"[('cubic', 0, 1), ('int', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],"[('cubic', 0, 1), ('int', 3, 4), ('log', 2, None)]",[],{},{},dgp5,sr_pds_cf,NL + linear conf.,SR-PDS (CF),0.5
