seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,du_selected
2,False,0.45909140805711923,0.048076761700188486,0.3648609551247498,0.5533218609894887,dgp1,epds,Linear,EPDS,0.5,epds,[],"[('int', 37, 45)]",[],[],{},{},nan
3,False,0.46828788275586875,0.04362904849525503,0.3827749477051689,0.5538008178065686,dgp1,epds,Linear,EPDS,0.5,epds,[],"[('int', 5, 44), ('int', 31, 44), ('int', 42, 44)]",[],[],{},{},nan
4,False,0.5477581435545194,0.045042678484606,0.4594744937246916,0.6360417933843471,dgp1,epds,Linear,EPDS,0.5,epds,[],"[('int', 7, 20), ('int', 12, 39), ('int', 20, 35)]",[],[],{},{},nan
5,False,0.42129550991573034,0.044386050448451286,0.3342988510367658,0.5082921687946949,dgp1,epds,Linear,EPDS,0.5,epds,[],"[('int', 15, 49)]","[('int', 15, 49)]","[('int', 15, 49)]",{},"{('int', 15, 49): -0.015041226174057034}",nan
6,False,0.5097147948640686,0.043286960519772176,0.4248723522453151,0.5945572374828221,dgp1,epds,Linear,EPDS,0.5,epds,[],"[('int', 4, 16), ('int', 12, 16), ('int', 16, 37)]",[],[],{},{},nan
7,False,0.5602150651850896,0.046904233982699536,0.4682827665789985,0.6521473637911807,dgp1,epds,Linear,EPDS,0.5,epds,[],[],[],[],{},{},nan
8,False,0.4827670510490069,0.04762393023268934,0.38942414779293577,0.576109954305078,dgp1,epds,Linear,EPDS,0.5,epds,[],"[('cubic', 9, 13), ('cubic', 9, 40), ('int', 9, 21), ('int', 9, 39), ('int', 21, 39), ('sq', 9, None)]","[('cubic', 9, 13)]","[('cubic', 9, 13)]",{},"{('cubic', 9, 13): -0.02762801018641397}",nan
9,False,0.5080576152473797,0.04195525601136146,0.4258253134651112,0.5902899170296482,dgp1,epds,Linear,EPDS,0.5,epds,[],[],[],[],{},{},nan
0,False,0.49059411252652263,0.04905090978559485,0.3944543293467567,0.5867338957062885,dgp1,epds_du,Linear,EPDS + Du et al.,0.5,epds_du,[],[],[],[],{},{},"[0, 1, 2, 3, 9, 10, 11, 12, 13, 20, 22, 24, 27, 28, 33, 34, 38, 45, 46, 49]"
1,False,0.4801811273556291,0.04606674969252548,0.3898902979582792,0.570471956752979,dgp1,epds_du,Linear,EPDS + Du et al.,0.5,epds_du,[],"[('int', 0, 1), ('int', 0, 6), ('int', 0, 12), ('int', 1, 25), ('int', 6, 25), ('int', 12, 25), ('int', 14, 25), ('int', 14, 39)]",[],[],{},{},"[0, 1, 2, 3, 6, 9, 12, 14, 15, 18, 23, 25, 29, 30, 35, 37, 38, 39, 40, 42, 46, 47]"
2,False,0.45909140805711923,0.048076761700188486,0.3648609551247498,0.5533218609894887,dgp1,epds_du,Linear,EPDS + Du et al.,0.5,epds_du,[],"[('int', 17, 29), ('int', 17, 32)]",[],[],{},{},"[0, 1, 3, 5, 10, 13, 14, 17, 18, 20, 22, 26, 29, 30, 31, 32, 34, 36, 41, 43, 45, 47]"
3,False,0.46163294671495714,0.04416008024081867,0.37507918944295254,0.5481867039869617,dgp1,epds_du,Linear,EPDS + Du et al.,0.5,epds_du,[],"[('cubic', 47, 36), ('int', 1, 47), ('int', 3, 47), ('int', 12, 42), ('int', 36, 42), ('int', 36, 47), ('int', 47, 48)]","[('cubic', 47, 36)]","[('cubic', 47, 36)]",{},"{('cubic', 47, 36): 0.027470708764664706}","[0, 1, 3, 4, 10, 12, 21, 26, 30, 33, 36, 42, 43, 44, 47, 48, 49]"
4,False,0.5477581435545194,0.045042678484606,0.4594744937246916,0.6360417933843471,dgp1,epds_du,Linear,EPDS + Du et al.,0.5,epds_du,[],[],[],[],{},{},"[0, 1, 6, 8, 9, 11, 12, 13, 15, 18, 20, 25, 27, 28, 30, 32, 33, 35, 39, 46]"
5,False,0.42349653347866456,0.04403371321511341,0.3371904555770423,0.5098026113802868,dgp1,epds_du,Linear,EPDS + Du et al.,0.5,epds_du,[],"[('int', 1, 14), ('int', 1, 22), ('int', 1, 44), ('int', 2, 14), ('int', 2, 22), ('int', 2, 44), ('int', 14, 18), ('int', 14, 37), ('int', 18, 22), ('int', 18, 44), ('int', 22, 37), ('int', 37, 44)]",[],[],{},{},"[0, 1, 2, 3, 6, 8, 11, 14, 18, 19, 22, 23, 29, 34, 35, 37, 44, 45, 49]"
6,False,0.5097147948640686,0.043286960519772176,0.4248723522453151,0.5945572374828221,dgp1,epds_du,Linear,EPDS + Du et al.,0.5,epds_du,[],"[('int', 4, 16), ('int', 12, 16), ('int', 16, 34)]",[],[],{},{},"[0, 1, 2, 3, 4, 12, 15, 16, 18, 20, 21, 24, 25, 27, 28, 31, 34, 36, 43, 47, 49]"
7,False,0.5602150651850896,0.046904233982699536,0.4682827665789985,0.6521473637911807,dgp1,epds_du,Linear,EPDS + Du et al.,0.5,epds_du,[],"[('int', 14, 48)]",[],[],{},{},"[0, 1, 2, 3, 7, 12, 13, 14, 15, 17, 21, 28, 31, 32, 34, 35, 38, 40, 42, 46, 48]"
